model,tariff,household,run_seed,energy_cost_reduction_pct,oracle_gap_pct,total_token_cost_usd,avg_latency_ms,daily_api_cost_usd,breakeven_months
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,44.443,6.349,0.0,2868.5,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,44,21.407,101.29,0.0,3361.8,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,42,17.206,35.077,0.0,3364.2,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,43,23.947,94.423,0.0,3446.5,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,44,16.718,35.242,0.0,2995.4,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,42,24.175,78.626,0.0,2946.2,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,large_suburban,43,17.268,33.757,0.0,3051.9,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,43,24.407,78.007,0.0,2648.4,0.0,0.0
deepseek/deepseek-chat,pge_etou_c,apartment,44,25.405,75.797,0.0,2673.7,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,42,24.514,68.586,0.0,3503.6,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,43,21.607,74.119,0.0,2910.1,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,small_suburban,44,23.014,71.689,0.0,2935.6,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,42,10.849,24.794,0.0,3279.7,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,43,13.816,19.409,0.0,6151.0,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,large_suburban,44,10.53,24.801,0.0,6260.3,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,42,22.437,69.45,0.0,6071.8,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,43,22.292,69.352,0.0,3150.6,0.0,0.0
deepseek/deepseek-chat,sce_tou_d_prime,apartment,44,21.937,69.769,0.0,3195.5,0.0,0.0
deepseek/deepseek-chat,comed_hourly,small_suburban,42,79.373,0.0,0.0,3339.1,0.0,0.0
