hour,day,hour_of_day,base_load_kw,solar_gen_kw,ev_plugged_in,ev_soc_kwh,ev_capacity_kwh,ev_daily_discharge_kwh,home_battery_soc_kwh,home_battery_capacity_kwh
0,0,0,0.3607,0.0,1,18.0,60.0,12.0,5.0,10.0
1,0,1,0.3089,0.0,1,18.0,60.0,12.0,5.0,10.0
2,0,2,0.4026,0.0,1,18.0,60.0,12.0,5.0,10.0
3,0,3,0.3601,0.0,1,18.0,60.0,12.0,5.0,10.0
4,0,4,0.4171,0.0,1,18.0,60.0,12.0,5.0,10.0
5,0,5,0.4449,0.0,1,18.0,60.0,12.0,5.0,10.0
6,0,6,0.6071,0.0,1,18.0,60.0,12.0,5.0,10.0
7,0,7,0.5997,0.9399,0,6.0,60.0,12.0,5.0,10.0
8,0,8,0.6177,1.6262,0,6.0,60.0,12.0,5.0,10.0
9,0,9,0.6193,2.2313,0,6.0,60.0,12.0,5.0,10.0
10,0,10,0.6481,3.2342,0,6.0,60.0,12.0,5.0,10.0
11,0,11,0.6037,3.7842,0,6.0,60.0,12.0,5.0,10.0
12,0,12,0.5406,2.9739,0,6.0,60.0,12.0,5.0,10.0
13,0,13,0.6961,2.8273,0,6.0,60.0,12.0,5.0,10.0
14,0,14,0.5495,2.5477,0,6.0,60.0,12.0,5.0,10.0
15,0,15,0.6479,2.6707,0,6.0,60.0,12.0,5.0,10.0
16,0,16,0.6013,2.8714,0,6.0,60.0,12.0,5.0,10.0
17,0,17,0.5651,1.9059,0,6.0,60.0,12.0,5.0,10.0
18,0,18,0.5333,1.6054,1,6.0,60.0,12.0,5.0,10.0
19,0,19,0.3944,0.5702,1,6.0,60.0,12.0,5.0,10.0
20,0,20,0.4089,0.0,1,6.0,60.0,12.0,5.0,10.0
21,0,21,0.3858,0.0,1,6.0,60.0,12.0,5.0,10.0
22,0,22,0.3862,0.0,1,6.0,60.0,12.0,5.0,10.0
23,0,23,0.3363,0.0,1,6.0,60.0,12.0,5.0,10.0
24,1,0,0.3142,0.0,1,6.0,60.0,12.0,5.0,10.0
25,1,1,0.3678,0.0,1,6.0,60.0,12.0,5.0,10.0
26,1,2,0.3557,0.0,1,6.0,60.0,12.0,5.0,10.0
27,1,3,0.3539,0.0,1,6.0,60.0,12.0,5.0,10.0
