model,tariff,household,run_seed,hour,prompt_tokens,completion_tokens,latency_ms,cost_usd
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,0,489,75,2960.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,1,489,73,3135.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,2,489,79,3123.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,3,489,67,3168.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,4,489,72,3396.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,5,489,81,3416.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,6,486,86,3356.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,7,487,67,3636.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,8,487,67,3061.8,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,9,487,73,2360.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,10,487,71,2921.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,11,487,73,2781.5,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,12,487,66,2512.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,13,487,68,2290.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,14,487,67,3731.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,15,487,62,2278.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,16,488,72,3187.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,17,488,66,2810.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,18,487,64,2821.4,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,19,487,65,3125.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,20,487,69,3184.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,21,486,66,3090.0,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,22,486,77,2794.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,23,486,81,3812.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,24,489,71,3257.1,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,25,489,67,3042.3,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,26,489,70,2831.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,27,489,71,3206.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,28,489,67,2482.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,29,489,73,2895.6,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,30,486,74,2980.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,31,487,62,2806.9,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,32,487,66,2618.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,33,487,64,2787.7,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,34,487,67,2712.2,0.0
deepseek/deepseek-chat,pge_etou_c,small_suburban,42,35,487,73,2895.0,0.0
